Group name,Trophic Level,Biomass,Prod,accessibilty,Omnivory index,Others,Small seines,Gill nets,Long lines
Birds,3.533859,0.005,0.3,0,0.1541713,0,0,0,0
Crocodiles,4.091322,0.001,0.3,0,0.30672,0,0,0,0
Lates,3.334084,2.0584,2.539,0.8,0.03646339,1.06E-05,2.57E-08,2.40E-05,2.38E-05
Clarias,3.324343,0.3918459,0.395,0.8,0.00760397,0.007720359,0,0.0145829,0.02573453
Bagrus,3.358609,0.577,1.2,0.8,0.01258661,0.01712494,0,0.03234711,0.05708314
Protopterus,3.104005,0.439,0.442,0.8,0.3463205,0.01451613,0,0.03290322,0.01258065
Squeakers,3.451617,0.638,0.106,0.8,0.01401623,0.000214407,0,0.01076503,8.93E-06
Momyridae,3.181378,0.1,0.3,0.8,0.2806715,0.000328985,0,0.01651777,1.37E-05
Shilbe,3.332234,0.05,0.281,0.8,0.004234358,0.00467442,0,0.00701163,0
Rippon barbel,3.044787,0.4,0.23,0.8,0.289854,0.003924419,0,0.005886628,0
Small barbs,3.052632,0.025,2.49,0,0,0,0,0,0
Alestidae,3.20002,0.05,0.258,0.8,0.03701294,0.000889535,0,0.001334302,0
Ningu,2,2,0.175,0.8,0,0.04351164,0,0.06526746,0
Haplochromines,2.300228,8.191396,3.15,0.8,0.228705,0.005478272,0.02873407,0.007787739,0.008915618
Dagaa,3.052632,2.08,2.51,0.8,0,0.000104395,0.000695605,0,0
Nile tilapia,2.45792,0.12,0.9,0.8,0.3950846,0.000400778,0,0.000682574,3.13E-06
Other tilapias,2,2.172,0.369,0.8,0,0.1125126,0,0.1916229,0.000879004
Shrimp,2.526316,0.7,11.47669,0,0.2770083,0,0,0,0
Insects and molluscs,2.31589,1.5,14.32347,0,0.232787,0,0,0,0
Zooplankton,2.052632,3.5,50.21855,0,0.05263158,0,0,0,0
Phytoplankton,1,4.5,160,0,0,0,0,0,0
Macrophytes,1,6,15,0,0,0,0,0,0
Detritus,1,10,0,0,0.3917667,0,0,0,0
